word,phonetic,meaning,example,level,frequency,initial_delay_days
war,/wɒ:/,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争；vi. 进行战争, 作战, 打仗, 战斗；a. 战争的, 战时用的",,CET4,9696,2
real,/'riəl/,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的；n. 实数, 现实；adv. 真正地",,CET4,9695,2
offer,/'ɒfə/,"n. 给予(物), 出价, 提议, 意图, 报价；vt. 提供, 出价, 奉献, 试图, 使出现, 演出；vi. 出现, 献祭, 提议, 求婚",,CET4,9693,2
team,/ti:m/,"n. 队, 组；vt. 把马(牛)套在同一辆车上, 把...编成一组；vi. 驾驶卡车, 协作",,CET4,9693,2
view,/vju:/,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象；vt. 看, 考虑, 视察, 查看, 估量",,CET4,9689,2
consider,/kən'sidŋ/,"v. 考虑, 思考, 认为",,CET4,9688,2
kid,/kid/,"n. 小山羊, 小山羊肉, 小孩, 欺骗；a. 小山羊皮制的；v. 哄骗, 嘲弄",,CET4,9688,2
term,/tə:m/,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石；vt. 称, 呼",,CET4,9684,2
public,/'pʌblik/,"n. 公众, 民众；a. 公众的, 公共的, 公立的, 公用的",,CET4,9681,2
require,/ri'kwaiə/,"vt. 需要, 命令, 要求",,CET4,9679,2
period,/'piəriəd/,"n. 时期, 节段, 节, 句点, 学时, 周期；a. 当时特有的, 过去某段时期的；interj. 就是这话, 就是这么回事",,CET4,9676,2
figure,/'figə/,"n. 数字, 价格, 图形, 形状；vt. 描绘, 表示, 演算, 认为；vi. 计算, 出现, 估计",,CET4,9675,2
society,/sə'saiəti/,n. 社会；社交界；交往；社团,,CET4,9674,2
police,/pə'li:s/,"n. 警察, 警察当局, 治安；vt. 维持治安, 管辖",,CET4,9672,3
add,/æd/,"vt. 增加, 添加, 附带说明, 计算...总和；vi. 做加法, 积累而成, 增添",,CET4,9670,3
create,/kri:'eit/,"vt. 创造, 建造, 引起, 任命",,CET4,9668,3
probably,/'prɒbəbli/,"adv. 大概, 或许",,CET4,9667,3
control,/kən'trəul/,"n. 控制, 管理, 克制, 控制器, 操纵装置；vt. 控制, 操纵, 抑制",,CET4,9661,3
action,/'ækʃən/,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼；vt. 对...起诉",,CET4,9660,3
process,/'prɒses/,"n. 程序, 进行, 过程；vt. 加工, 使...接受处理, 对...处置, 对...起诉；a. 经加工的, 有特殊光效的",,CET4,9657,3
remain,/ri'mein/,"vi. 保持, 逗留, 剩余",,CET4,9656,3
position,/pə'ziʃən/,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地；vt. 安置, 决定...的位置",,CET4,9655,3
art,/ɑ:t/,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术",,CET4,9654,3
course,/kɒ:s/,"n. 课程, 路线, 过程, 一道菜, 道路；v. 追, (使)跑",,CET4,9653,3
history,/'histəri/,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录",,CET4,9650,3
education,/.edju'keiʃən/,"n. 教育, 训练, 教育学",,CET4,9647,3
actually,/'æktʃuəli/,"adv. 事实上, 竟然, 如今, 现在",,CET4,9646,3
type,/taip/,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式；vi. 打字；vt. 作为代表, 测定类型, 用打字机打",,CET4,9644,3
research,/ri'sə:tʃ/,"n. 研究, 调查, 考察；vi. 研究, 调查",,CET4,9643,3
win,/win/,"vt. 赢得, 打胜, 成功；vi. 获胜, 达到, 影响；n. 胜利, 赢, 收益",,CET4,9639,3
guy,/gai/,"n. 家伙, 支索；vt. 用支索撑住, 取笑, 嘲弄；vi. 逃跑",,CET4,9636,3
value,/'vælju:/,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果；vt. 评价, 估价, 重视",,CET4,9633,3
force,/fɒ:s/,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力；vt. 强迫, 强夺, 推动, 提高",,CET4,9631,3
act,/ækt/,"n. 行动, 行为, 幕, 法案；vi. 行动, 表演, 假装, 见效, 表现, 担当；vt. 扮演, 装作",,CET4,9629,4
main,/mein/,"n. 主要部分, 干线, 体力, 力量, 主群组；a. 主要的, 重要的, 全力的",,CET4,9624,4
less,/les/,"n. 较少, 较小；a. 少的, 小的；adv. 较少, 较小, 较差",,CET4,9621,4
decision,/di'siʒən/,"n. 决定, 决心, 决断",,CET4,9619,4
industry,/'indəstri/,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动",,CET4,9617,4
patient,/'peiʃənt/,"n. 病人, 承受者；a. 忍耐的, 容忍的, 有耐性的, 坚忍的",,CET4,9616,4
toward,/tə'wɒ:d/,"prep. 向, 对于, 为了；a. 即将来临的, 进行中的",,CET4,9616,4
major,/'meidʒə/,"n. 主修课, 成年人, 陆军少校；a. 主要的, 较多的, 大部分的, 成年的, 严重的；vi. 主修",,CET4,9608,4
church,/tʃə:tʃ/,"n. 教堂, 礼拜, 教会；vt. 使人接受宗教仪式；a. 教堂的",,CET4,9607,4
describe,/di'skraib/,"vt. 描述, 描绘, 画",,CET4,9602,4
condition,/kən'diʃən/,"n. 情况, 条件；vt. 使健康, 以...为条件, 决定, 使适应",,CET4,9601,4
human,/'hju:mən/,"n. 人, 人类；a. 人类的, 似人类的, 人性的, 有同情心的",,CET4,9601,4
reach,/ri:tʃ/,"n. 伸出, 延伸, 区域, 范围, 流域, 岬；vt. 到达, 达到, 伸出, 延伸, 影响；vi. 达到, 延伸, 伸出手, 传到",,CET4,9596,4
upon,/ə'pɒn/,"prep. 在...之上, 迫近, 紧接着",,CET4,9595,4
century,/'sentʃuri/,"n. 世纪, 百年",,CET4,9593,4
sense,/sens/,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智；vt. 感觉, 觉察, 检测",,CET4,9593,4
therefore,/'ðєəfɒ:/,"adv. 因此, 所以",,CET4,9592,4
section,/'sekʃən/,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区；vt. 把...分段, 把...切片；vi. 被切成片",,CET4,9591,4
activity,/æk'tiviti/,"n. 活动, 行动, 活跃, 活力",,CET4,9588,4
nation,/'neiʃən/,"n. 国家, 民族",,CET4,9588,4
death,/deθ/,n. 死亡,,CET4,9586,5
experience,/ik'spiəriəns/,"n. 经历, 经验, 体验；vt. 经历, 经验, 体验",,CET4,9580,5
sort,/sɒ:t/,"n. 种类, 方式, 品质, 态度, 举止；vt. 分类, 排序, 挑选；vi. 交往, 协调；对它以行为单位进行排序, 然后在标准输出设备上输出",,CET4,9579,5
likely,/'laikli/,"a. 有可能的, 合适的, 前途有望的；adv. 或许, 可能",,CET4,9578,5
staff,/stɑ:f/,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖；a. 职员的, 雇员的, 参谋的；vt. 为...配备人员",,CET4,9577,5
kill,/kil/,"n. 杀, 杀戮, 小河；vt. 杀, 破坏, 消灭, 使终止, 抵消, 否决；vi. 杀死",,CET4,9575,5
particular,/pə'tikjulə/,"n. 一项(或条、点), 个别项目, 详细说明；a. 特别的, 独有的, 挑剔的, 详尽的",,CET4,9569,5
international,/.intə'næʃənəl/,a. 国际的；n. 国别设定,,CET4,9565,5
special,/'speʃəl/,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员；a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的",,CET4,9562,5
certain,/'sə:tən/,"a. 确定的, 某一个的, 必然的",,CET4,9560,5
former,/'fɒ:mə/,"a. 从前的, 前者的；n. 起形成作用的人(或物), 模型, 样板",,CET4,9558,5
management,/'mænidʒmənt/,"n. 经营, 支配, 管理",,CET4,9554,5
department,/di'pɑ:tmənt/,"n. 部门, 系, 机关",,CET4,9553,5
committee,/kə'miti/,n. 委员会,,CET4,9550,5
product,/'prɒdʌkt/,"n. 产品, 结果, 乘积",,CET4,9549,5
role,/rəul/,"n. 角色, 职责, 任务",,CET4,9549,5
whole,/həul/,"n. 全部, 全体, 整体, 完全之体系；a. 所有的, 完整的, 完全的, 纯粹的",,CET4,9548,5
effort,/'efət/,"n. 努力, 成就",,CET4,9546,5
evidence,/'evidəns/,"n. 根据, 证据, 迹象",,CET4,9544,5
rather,/'ræðə/,"adv. 宁可, 稍微, 相当",,CET4,9540,5
drug,/drʌg/,"n. 药, 麻药, 麻醉药；vi. 吸毒；vt. 使服麻醉药, 使麻木",,CET4,9539,6
leader,/'li:də/,"n. 领导者, 社论, 指挥, 领袖, 领唱者, 前导字符",,CET4,9537,6
voice,/vɒis/,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态；vt. 表达, 吐露, 调音",,CET4,9535,6
union,/'ju:njən/,"n. 联盟, 联合, 结合, 工会",,CET4,9533,6
finally,/'fainəli/,"adv. 最后, 终于",,CET4,9530,6
event,/i'vent/,"n. 事件, 结果, 事情的进程, 竞赛项目",,CET4,9527,6
military,/'militəri/,"n. 军队；a. 军事的, 军人的, 适于战争的",,CET4,9526,6
cause,/kɒ:z/,"n. 原因, 目标；vt. 引起, 使产生, 使遭受",,CET4,9524,6
thus,/ðʌs/,"adv. 如此, 因此, 到如此程度",,CET4,9521,6
explain,/ik'splein/,"v. 解释, 说明",,CET4,9520,6
support,/sə'pɒ:t/,"n. 支持, 支撑, 援助, 供养, 支撑物；vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实",,CET4,9519,6
stage,/steidʒ/,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架；vt. 上演, 表演, 筹划；vi. 适于上演, 乘驿车旅行",,CET4,9518,6
range,/'reindʒ/,"n. 排, 行, 山脉, 范围, 行列, 射程；vt. 排列, 归类于, 使并列, 放牧；vi. 平行, 延伸, 漫游",,CET4,9516,6
trade,/treid/,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风；vi. 进行交易, 做买卖, 经商, 对换, 购物；vt. 用...进行交换",,CET4,9515,6
relationship,/ri'leiʃənʃip/,"n. 关系, 关联",,CET4,9514,6
accept,/ək'sept/,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍；vi. 同意",,CET4,9512,6
god,/^ɔd/,"n. 上帝, 神像, 偶像；vt. 使神化",,CET4,9508,6
club,/klʌb/,"n. 俱乐部, 木棍, 球棒；vt. 用棍棒打, 缴纳；vi. 联合起来；a. 俱乐部的",,CET4,9507,6
difference,/'difərəns/,"n. 不同, 差异",,CET4,9504,6
account,/ə'kaunt/,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目；vi. 报帐, 解释, 导致, 报偿, 占, 杀死；vt. 认为",,CET4,9502,6
material,/mə'tiəriəl/,"n. 材料, 物资, 素材, 布料, 资料；a. 物质的, 肉体的, 重要的",,CET4,9501,7
situation,/.sitju'eiʃən/,"n. 情形, 境遇, 位置",,CET4,9497,7
model,/'mɒdəl/,"n. 模型, 模范, 模特儿；a. 模范的, 作模型用的；vi. 做模型, 做模特儿；vt. 使模仿, 塑造",,CET4,9496,7
record,/ri'kɒ:d/,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片；vt. 记录, 记载, 标明, 将...录音；vi. 记录, 录音, 可被录音；a. 创纪录的",,CET4,9493,7
project,/'prɒdʒekt/,"n. 计划, 设计, 事业；vt. 计划, 设计, 投掷, 发射, 使凸出, 放映；vi. 凸出",,CET4,9491,7
tax,/tæks/,"n. 税, 税款, 重负, 会费；vt. 课以税, 使负重荷, 斥责",,CET4,9491,7
director,/di'rektə/,"n. 主管, 导演, 董事",,CET4,9490,7
player,/'pleiə/,"n. 竞赛者, 上场队员, 游戏者, 演员",,CET4,9487,7
base,/beis/,"n. 底部, 垒, 基础, 基地；vt. 以...作基础；a. 卑鄙的, 低劣的",,CET4,9486,7
especially,/i'speʃəli/,"adv. 尤其, 特别, 格外",,CET4,9485,7
training,/'treiniŋ/,"n. 训练, 培养",,CET4,9484,7
central,/'sentrəl/,"a. 中央的, 重要的",,CET4,9479,7
space,/speis/,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅；vt. 隔开, 分隔；vi. 留间隔",,CET4,9479,7
apply,/ə'plai/,"vt. 涂, 应用；vi. 申请, 适用",,CET4,9478,7
increase,/in'kri:s/,"n. 增加, 增进, 利益；vt. 增加, 加大；vi. 增加, 繁殖",,CET4,9477,7
official,/ə'fiʃəl/,"n. 官员, 公务员, 职员；a. 公务的, 官方的, 正式的",,CET4,9474,7
university,/.ju:ni'və:siti/,n. 大学,,CET4,9470,7
couple,/'kʌpl/,"n. 对, 夫妇, 数个；vt. 使成双, 连接, 使成婚, 把...联系起来；vi. 结合, 成婚",,CET4,9469,7
site,/sait/,"n. 位置, 场所, 地点；vt. 给...择址",,CET4,9468,7
claim,/kleim/,"n. 要求, 要求权, 断言, 权利；vt. 要求, 认领, 主张；vi. 提出要求, 主张, 断言",,CET4,9467,7
hit,/hit/,"n. 打击, 打, 冲撞, 讽刺；vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上；vi. 打, 打中, 打击, 碰撞, 偶然碰上",,CET4,9465,8
indeed,/in'di:d/,"adv. 的确, 实在, 真正地, 甚至",,CET4,9465,8
quality,/'kwɒləti/,"n. 品质, 特性, 才能, 质量；a. 优质的",,CET4,9464,8
rule,/ru:l/,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线；vt. 规定, 统治, 管理, 控制, 支配, 裁决；vi. 统治, 管辖, 裁定",,CET4,9461,8
oil,/ɒil/,"n. 油, 石油, 油画颜料；vt. 涂油于, 使融化成油状, 加油于；vi. 加燃油, 融化",,CET4,9454,8
pound,/paund/,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏；vt. 强烈打击, 捣烂, 监禁, 关入栏内；vi. 连续重击, 苦干",,CET4,9454,8
data,/'deitə/,"pl. 资料, 数据",,CET4,9448,8
nature,/'neitʃə/,"n. 自然, 大自然, 本性, 性格, 性质",,CET4,9447,8
common,/'kɒmən/,"a. 通常的, 共同的, 通俗的, 公共的",,CET4,9446,8
image,/'imidʒ/,"n. 影像, 肖像, 想象, 图像, 形象, 翻版；vt. 作...的像, 反映, 想象, 象征；n. 图像",,CET4,9445,8
officer,/'ɒfisə/,"n. 军官, 主管, 官员, 公务员；vt. 指挥",,CET4,9444,8
phone,/fəun/,"n. 电话, 受话器, 耳机；vt. 打电话给；vi. 打电话",,CET4,9443,8
structure,/'strʌktʃə/,"n. 结构, 构造, 建筑物；vt. 构成, 组织",,CET4,9443,8
contain,/kən'tein/,"vt. 包含, 容纳, 控制；vi. 自制",,CET4,9441,8
unit,/'ju:nit/,"n. 单位, 分队, 部队, 单元, 部件, 装置；a. 单位的, 单元的",,CET4,9440,8
method,/'meθəd/,"n. 方法, 办法, 条理, 秩序",,CET4,9439,8
movement,/'mu:vmənt/,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章",,CET4,9436,8
detail,/'di:teil/,"n. 细节, 详情；vt. 详述, 选派；vi. 画详图",,CET4,9434,8
recent,/'ri:snt/,"a. 最近的, 近代的, 最新的",,CET4,9433,8
reduce,/ri'dju:s/,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳；vi. 减少, 减肥, 缩小",,CET4,9433,8
personal,/'pə:snl/,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的",,CET4,9426,9
test,/test/,"n. 测试, 试验, 化验, 检验, 考验, 甲壳；vt. 测试, 试验, 化验；vi. 接受测验, 进行测试",,CET4,9425,9
establish,/i'stæbliʃ/,"vt. 建立, 确立, 制定；vi. 移植生长",,CET4,9424,9
movie,/'mu:vi/,n. 电影,,CET4,9424,9
private,/'praivit/,"a. 私人的, 秘密的, 私立的, 隐蔽的；n. 士兵, 隐士, 阴部",,CET4,9419,9
approach,/ə'prəutʃ/,"n. 接近, 入门；vt. 接近, 近似, 找...商量；vi. 靠近",,CET4,9417,9
amount,/ə'maunt/,"n. 总数, 总额；vi. 总计, 等同",,CET4,9416,9
technology,/tek'nɒlədʒi/,"n. 技术, 工业技术, 术语",,CET4,9415,9
scheme,/ski:m/,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋；v. 计划, 设计, 图谋, 策划",,CET4,9413,9
step,/step/,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级；vt. 踏, 以步测量, 跨步, 使成阶梯状；vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走",,CET4,9413,9
award,/ə'wɒ:d/,"n. 奖品, 裁定, 判决；vt. 授予, 给予",,CET4,9410,9
attention,/ə'tenʃən/,"n. 注意, 注意力",,CET4,9409,9
seek,/si:k/,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求；vi. 寻找, 搜索",,CET4,9409,9
achieve,/ə'tʃi:v/,"vt. 完成, 达到；vi. 如愿以偿",,CET4,9408,9
chapter,/'tʃæptə/,"n. 章, 篇, 重要章节",,CET4,9407,9
choose,/tʃu:z/,"vt. 选择, 宁愿, 欲；vi. 作出选择, 愿意",,CET4,9406,9
republican,/ri'pʌblikən/,"n. 共和主义者, 共和党员；a. 共和政体的, 共和国的, 共和主义的",,CET4,9406,9
deal,/di:l/,"n. 交易, 协定, 数量, 买卖, 松木板；vi. 处理, 应付, 做生意；vt. 分配, 发牌, 给予",,CET4,9405,9
organization,/.ɒ:gənai'zeiʃən/,"n. 组织, 结构, 团体, 体制",,CET4,9405,9
theory,/'θiəri/,"n. 理论, 学说, 原理, 意见, 推测",,CET4,9404,9
property,/'prɒpəti/,"n. 财产, 所有权, 性质, 属性",,CET4,9403,10
source,/sɒ:s/,"n. 来源, 水源, 根源, 原始资料, 源",,CET4,9403,10
firm,/fə:m/,"n. 公司, 商号；a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的；vt. 使牢固, 使坚定；vi. 变稳固, 变坚实；adv. 稳固地",,CET4,9393,10
application,/.æpli'keiʃən/,"n. 应用, 申请, 志愿书, 应用程序",,CET4,9392,10
production,/prə'dʌkʃən/,"n. 制造, 生产, 产物",,CET4,9390,10
board,/bɒ:d/,"n. 木板, 甲板, 膳食, 会议桌；vt. 乘船, 供膳食, 用板覆盖；vi. 搭伙",,CET4,9389,10
culture,/'kʌltʃə/,"n. 文化, 修养, 耕种；vt. 耕种, 培养",,CET4,9389,10
billion,/'biljən/,"num. 十亿, 十亿个",,CET4,9388,10
king,/kiŋ/,"n. 国王, 君主；vt. 使...成为君主；vi. 君临, 统治",,CET4,9388,10
chance,/tʃæns. tʃɑ:ns/,"n. 机会, 意外, 可能性；vi. 偶然发生；vt. 冒险",,CET4,9387,10
energy,/'enədʒi/,"n. 精力, 精神, 活力, 能量",,CET4,9385,10
realize,/'riəlaiz/,"vt. 了解, 实现, 使显得逼真, 变卖；vi. 变卖",,CET4,9384,10
opportunity,/.ɒpə'tju:niti/,"n. 机会, 时机",,CET4,9382,10
operation,/.ɒpə'reiʃən/,"n. 操作, 动作, 手术, 运算, 作用, 业务",,CET4,9381,10
share,/ʃєə/,"n. 部分, 参与, 一份, 参股, 份额；vt. 均分, 分担, 分享, 分配, 共有；vi. 分享；文件锁定及检测磁盘更动和对超过32MB硬盘分区的支持",,CET4,9380,10
lord,/lɒ:d/,"n. 统治者, 阁下, 上帝；vi. 称王, 作威作福；vt. 使成贵族",,CET4,9378,10
contract,/'kɒntrækt/,"n. 合约, 婚约, 契约；vt. 使皱缩, 使缩短, 感染, 订约, 缔结；vi. 皱缩, 订约, 收缩",,CET4,9372,10
choice,/tʃɒis/,"n. 选择, 精选品, 选择权；a. 精选的, 挑三拣四的, 上等的；该命令用于提示用户作出选择, 决定批处理文件的流程",,CET4,9370,10
security,/si'kjuriti/,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金",,CET4,9368,10
occur,/ə'kə:/,"vi. 发生, 被想到, 存在",,CET4,9366,10
administration,/əd.mini'streiʃən/,"n. 行政, 管理, 政府机关",,CET4,9365,11
congress,/'kɒŋgres/,"n. 国会, 会议, 讨论会",,CET4,9362,11
election,/i'lekʃən/,"n. 选举, 当选, 选择权",,CET4,9362,11
campaign,/kæm'pein/,"n. 战役, 运动, 竞选运动；vi. 参加运动, 作战",,CET4,9360,11
used,/'ju:st/,"a. 使用过的, 二手的, 习惯的",,CET4,9359,11
population,/.pɒpju'leiʃən/,"n. 人口, 人口数",,CET4,9358,11
various,/'vєəriəs/,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的",,CET4,9357,11
rise,/raiz/,"n. 上升, 增加, 上涨, 高地, 升高, 出现；vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现；vt. 使飞起",,CET4,9356,11
economy,/i'kɒnəmi/,"n. 经济, 理财, 节约",,CET4,9355,11
represent,/.repri'zent/,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演；vi. 提出异议",,CET4,9355,11
medical,/'medikl/,"n. 医生, 体格检查；a. 医学的, 内科的, 药的",,CET4,9354,11
loss,/lɒs/,"n. 损失, 遗失, 失败, 输, 错过, 伤亡",,CET4,9351,11
clearly,/'kliəli/,adv. 清楚地,,CET4,9350,11
risk,/risk/,"n. 冒险, 危险, 保险额；vt. 冒...的危险, 冒险干",,CET4,9350,11
current,/'kʌrənt/,"n. 涌流, 趋势, 流；a. 流通的, 现在的, 当前的, 流行的",,CET4,9348,11
standard,/'stændəd/,"n. 标准, 规格, 旗, 军旗, 本位；a. 标准的, 合规格的",,CET4,9347,11
purpose,/'pə:pəs/,"n. 目的, 意向, 决心, 用途, 效果, 论题；vt. 意欲, 企图, 计划",,CET4,9345,11
